id;region;target;policy;variable;period;value
346;World;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;925,225625
348;World;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;567,688775
350;World;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;670,54565
352;World;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;744,2733
354;World;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;1017,944725
356;World;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;567,688775
358;World;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;670,54565
360;World;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;744,2733
362;World;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;1074,772675
364;World;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2020-2030;1347,086375
522;World;2°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1491,45405
524;World;2°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1428,42195
526;World;2°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1393,297513
528;World;2°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1391,694688
530;World;2°C, red. CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1743,180913
532;World;2°C, red. CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1667,240063
534;World;2°C, red. CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1600,879638
536;World;2°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1487,177088
538;World;1.5°C, full CDR;NDCs;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1681,246963
540;World;1.5°C, full CDR;Good Practice;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1614,638588
542;World;1.5°C, full CDR;Net Zero;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1553,19545
544;World;1.5°C, full CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1515,907838
546;World;1.5°C, red. CDR;Cost-effective pricing;Low-carbon (renewables, nuclear, fossils with CCS);2030-2050;1735,273425
